x,y,theta1_deg,theta2_deg
-0.0341,-0.3727,48.3935,-137.7724
-0.0503,-0.3703,51.0266,-140.4674
-0.0665,-0.3642,53.0703,-144.2569
-0.0828,-0.3531,54.3303,-149.563
-0.0965,-0.3375,54.4419,-155.9731
-0.105,-0.3213,53.7295,-162.0516
-0.1094,-0.3049,52.4645,-167.8191
-0.11,-0.2887,50.767,-173.2706
-0.107,-0.2725,48.6296,-178.4978
-0.0993,-0.2562,45.8073,176.5414
-0.0852,-0.2406,41.9663,172.4584
-0.069,-0.2311,38.1809,171.0505
-0.0527,-0.2268,34.6633,171.948
-0.0539,-0.2118,34.0461,166.0451
-0.0546,-0.1956,33.4328,159.2628
-0.0533,-0.1792,32.5271,152.0896
-0.0495,-0.163,31.2243,144.4663
-0.0431,-0.1468,29.3686,135.9425
-0.0336,-0.1305,26.7446,125.4546
-0.0201,-0.1143,22.7769,109.7812
0.1423,-0.1089,-47.4485,-142.0596
0.1575,-0.1249,-34.5812,-134.3197
0.1681,-0.1411,-27.7463,-129.3629
0.1753,-0.1573,-22.4262,-126.0045
0.18,-0.1737,-17.7924,-123.5655
0.1822,-0.1899,-13.6026,-121.8464
0.1822,-0.2061,-9.6408,-120.6884
0.18,-0.2224,-5.7646,-120.0038
0.1905,-0.2295,-5.1928,-115.8091
0.2067,-0.2364,-4.9616,-109.8104
0.2226,-0.2497,-3.183,-103.2783
0.2329,-0.2659,-0.4675,-98.0299
0.2377,-0.2821,2.4807,-94.2139
0.2385,-0.2985,5.5972,-91.2551
0.2356,-0.3147,8.819,-89.011
0.2289,-0.3309,12.2185,-87.5205
0.2167,-0.3472,15.9424,-87.2182
0.2005,-0.3603,19.3249,-88.7128
0.1843,-0.3679,21.7609,-91.5762
0.168,-0.3715,23.5128,-95.5592
0.1518,-0.3717,24.6929,-100.3296
0.1356,-0.3679,25.2577,-105.9882
0.1192,-0.3592,25.1036,-112.7537
0.1044,-0.3442,23.9641,-120.4367
0.096,-0.328,22.2168,-126.5141
0.091,-0.3135,20.5063,-131.1748
0.0748,-0.316,22.9435,-134.5307
0.0586,-0.3165,25.1656,-138.2012
0.0423,-0.3145,27.178,-142.3463
0.0331,-0.3216,29.4831,-142.4023
0.0271,-0.3378,32.6862,-139.1037
0.0148,-0.3541,37.0152,-136.5588
-0.0014,-0.3657,41.4517,-135.6056
-0.0176,-0.3712,45.1457,-136.1431
-0.0339,-0.3727,48.3655,-137.7541
-0.0341,-0.3727,48.3935,-137.7724
